feature_1,feature_2,correlation
body_mass_index,obesity,0.9999319115180125
muscle_mass,low_density_lipoprotein,0.9997286884758456
visceral_muscle_area,low_density_lipoprotein,0.9989796942360544
muscle_mass,visceral_muscle_area,0.9983742922462236
bone_mass,low_density_lipoprotein,0.9978939844349213
bone_mass,muscle_mass,0.9971961134922487
bone_mass,visceral_muscle_area,0.9970311291434575
total_fat_content,visceral_fat_area,0.9913537714650204
triglyceride,alanin_aminotransferaz,0.9876180546047358
total_body_fat_ratio,total_fat_content,0.9866259225478252
total_body_fat_ratio,visceral_fat_area,0.9846247894810353
visceral_fat_rating,visceral_fat_area,0.9792370251953738
total_body_water,low_density_lipoprotein,0.976028040856012
total_body_water,muscle_mass,0.9749436451656599
total_body_water,intracellular_water,0.974913852341431
low_density_lipoprotein,alkaline_phosphatase,0.9747441520124343
total_body_water,visceral_muscle_area,0.9739479698888247
aspartat_aminotransferaz,vitamin_d,0.9731368491033934
bone_mass,alkaline_phosphatase,0.9727712893215097
total_body_water,alkaline_phosphatase,0.9718735246191895
muscle_mass,alkaline_phosphatase,0.9714386529073492
visceral_muscle_area,alkaline_phosphatase,0.9681014440703284
total_body_water,bone_mass,0.961559451605773
total_body_fat_ratio,visceral_fat_rating,0.9514271472553394
visceral_fat_rating,total_fat_content,0.9451094962069201
extracellular_water,bone_mass,0.9374080010495661
obesity,visceral_fat_area,0.9366968793918893
body_mass_index,visceral_fat_area,0.934772929712528
visceral_fat_rating,obesity,0.922262123208784
extracellular_water,muscle_mass,0.9221208670001707
body_mass_index,visceral_fat_rating,0.9216172958883777
extracellular_water,low_density_lipoprotein,0.9208771131960851
extracellular_water,alkaline_phosphatase,0.9164249918586144
obesity,total_fat_content,0.914164428963161
intracellular_water,visceral_muscle_area,0.9122878911530191
body_mass_index,total_fat_content,0.9112319494545927
intracellular_water,low_density_lipoprotein,0.9101893129335057
body_protein_content,total_cholesterol,0.9095185261216014
extracellular_water,visceral_muscle_area,0.9090787763964188
intracellular_water,muscle_mass,0.9082473431795294
height,visceral_muscle_area,0.9070851315398641
height,bone_mass,0.9068609744556559
intracellular_water,alkaline_phosphatase,0.9065336158244669
extracellular_water,glucose,0.9046329957507168
weight,extracellular_water,0.899150004328011
height,low_density_lipoprotein,0.8914647241691028
height,muscle_mass,0.8891197363393638
visceral_muscle_area,total_cholesterol,0.8862155519977888
height,total_cholesterol,0.8859494282430417
intracellular_water,bone_mass,0.884304763661651
aspartat_aminotransferaz,alanin_aminotransferaz,0.8805256185494458
total_body_fat_ratio,obesity,0.8787944079375586
body_mass_index,total_body_fat_ratio,0.8769224017141702
weight,glucose,0.8727569076357772
bone_mass,total_cholesterol,0.8712050910647104
total_cholesterol,low_density_lipoprotein,0.8702349630469568
hepatic_fat_accumulation,vitamin_d,0.8691279199410251
total_body_water,total_cholesterol,0.8688586640105386
extracellular_fluid_total_body_water,total_body_fat_ratio,0.8670988466943974
hepatic_fat_accumulation,aspartat_aminotransferaz,0.8661066711241553
intracellular_water,total_cholesterol,0.8614882251804614
total_cholesterol,alkaline_phosphatase,0.8609460070204346
muscle_mass,total_cholesterol,0.8602977046685326
muscle_mass,glucose,0.856684144771602
aspartat_aminotransferaz,hemoglobin,0.8490039836691143
glucose,low_density_lipoprotein,0.8470366397817635
bone_mass,glucose,0.8434501698521594
total_body_water,extracellular_water,0.8402987554806628
weight,obesity,0.8286623560129845
extracellular_fluid_total_body_water,visceral_fat_rating,0.8285925878857606
visceral_muscle_area,glucose,0.8268366890190052
weight,body_mass_index,0.8232578380370494
glucose,alkaline_phosphatase,0.820930515097445
intracellular_water,hemoglobin,0.8177721841254454
lean_mass,vitamin_d,0.8147484157064311
height,extracellular_water,0.814013207763492
height,alkaline_phosphatase,0.8064579019897199
extracellular_fluid_total_body_water,visceral_fat_area,0.8060975980541203
total_body_water,glucose,0.8056218414378974
height,total_body_water,0.8038696355276805
hepatic_fat_accumulation,alanin_aminotransferaz,0.8019026523986879
triglyceride,aspartat_aminotransferaz,0.8007917653218352
comorbidity,total_body_fat_ratio,0.7936638597963198
comorbidity,extracellular_fluid_total_body_water,0.7892051872524701
height,body_protein_content,0.7888770610006728
extracellular_fluid_total_body_water,total_fat_content,0.7887770356589776
hemoglobin,vitamin_d,0.7885321253895817
weight,total_fat_content,0.7722616680044548
comorbidity,total_fat_content,0.761147539458409
alanin_aminotransferaz,vitamin_d,0.7604475497341351
weight,visceral_fat_area,0.7491087450697528
hepatic_fat_accumulation,triglyceride,0.7457721712761785
total_body_water,hemoglobin,0.7341821453856041
weight,bone_mass,0.7326100460273525
age,visceral_fat_rating,0.7278196449170936
height,intracellular_water,0.7268297134060382
intracellular_water,aspartat_aminotransferaz,0.7212261240533716
intracellular_water,alanin_aminotransferaz,0.7159367094246313
weight,muscle_mass,0.7138605565347389
weight,low_density_lipoprotein,0.7055021762355895
alanin_aminotransferaz,hemoglobin,0.7047679430882506
intracellular_water,high_density_lipoprotein,-0.7132483500701287
height,creatinine,-0.7194779152267171
age,glomerular_filtration_rate,-0.7249584154676019
high_density_lipoprotein,alkaline_phosphatase,-0.7333668862725391
comorbidity,vitamin_d,-0.7537569571169949
total_fat_content,vitamin_d,-0.7755654494355493
high_density_lipoprotein,alanin_aminotransferaz,-0.7776856434588462
weight,high_density_lipoprotein,-0.7839811823793292
extracellular_fluid_total_body_water,hemoglobin,-0.7848728054105306
visceral_fat_area,vitamin_d,-0.7867219596438083
total_body_water,high_density_lipoprotein,-0.7873452683548968
intracellular_water,extracellular_fluid_total_body_water,-0.7874838983607497
comorbidity,lean_mass,-0.7928578480345058
extracellular_water,high_density_lipoprotein,-0.7939694400931899
bone_mass,high_density_lipoprotein,-0.8071075272905689
visceral_fat_rating,vitamin_d,-0.8096175169886485
visceral_muscle_area,high_density_lipoprotein,-0.809983630873513
total_body_fat_ratio,vitamin_d,-0.8145670362045103
low_density_lipoprotein,high_density_lipoprotein,-0.8206487026006964
high_density_lipoprotein,triglyceride,-0.8259567298789146
muscle_mass,high_density_lipoprotein,-0.8336946135444165
comorbidity,hemoglobin,-0.8355044182110831
extracellular_fluid_total_body_water,lean_mass,-0.8681514225957445
body_mass_index,lean_mass,-0.8768117433482973
lean_mass,obesity,-0.8786468729617083
extracellular_fluid_total_body_water,aspartat_aminotransferaz,-0.9121155626493898
extracellular_fluid_total_body_water,vitamin_d,-0.9340798581435251
glucose,high_density_lipoprotein,-0.946637234316743
lean_mass,visceral_fat_rating,-0.9518323786991837
lean_mass,visceral_fat_area,-0.9844843531757457
lean_mass,total_fat_content,-0.9861254841901008
creatinine,glomerular_filtration_rate,-0.997074552043979
total_body_fat_ratio,lean_mass,-0.9999933342659416
